????????????;;;;;;;;;;;;;;;
TAIZHOU SHIXIA INTERNATIONAL TRADING CO.,LTD.;;;;;;;;;;;;;;;
ADD:NO.19 Beiyuan Road, Huangyan Economic Development Zone, Taizhou, China;;;;;;;;;;;;;;;
Tel: (571)87912705     Fax: (571)87912973;;;;;;;;;;;;;;;
PROFORMA INVOICE;;;;;;;;;;;;;;;
TO:RIFER COMERCIO DE MATERIAIS PLASTICOS;;;;;;;;;;;;;;;
ADD:RUA CARLOS WEBER,890 APTO 254B - SÇO PAULO SP;;;;;;;;;;;;;;;
CEP 05303-000, CNPJ.:34.928.850/0001-76;;;;INVOICE NO:HB25-WFER001;;;;;;;;;;;
TEL:TEL:5511-93391-3789;;;;CUSTOMER PO#:;;;;;;;;;;;
SHIPPED PER:BYÿSEA;;;DATE OF INVOICE:Aprilÿ9,2025;;;;;;;;;;;;
FROM: NINGBO,CHINA;;;TO:SanÿPaulo,Brazil;;;;;;;;;;;;
MARKS;DESCRIPTION;Picture;PACKING;"QUANTITY
(bag)";UNIT PRICE;AMOUNT;Pre‡o Unit rio R$ ( Dolar R$ 6,02 ) FOB;CUSTO MEDIO IMPORTA€ÇO TAXAS 70%;TOTAL UNITµRIO;CUSTO TOTAL;PRE€O VENDA;TOTAL BRUTO;IMPOSTO VENDA;TOTAL LIQUIDO;
;;;;;FOB NINGBO(USD);;;;;;;;;;
RIFER;ABRACADEIRA NYLON BLACK  12x550;;100PCS/bag, with color label;2000;$3,87;$7.736,00; R$ 0,23 ; R$ 0,16 ; R$ 0,40 ; R$ 79.170,22 ; R$ 1,15 ; R$ 230.000,00 ; R$ 25.300,00 ; R$ 125.529,78 ;
;ABRACADEIRA NYLON BRANCA  2.5X100;;100PCS/bag, with color label;1000;$0,13;$125,00; R$ 0,01 ; R$ 0,01 ; R$ 0,01 ; R$ 127,93 ; R$ 0,03 ; R$ 2.558,50 ; R$ 281,44 ; R$ 2.149,14 ;
;ABRACADEIRA NYLON BRANCA  2.5X150;;;1000;$0,20;$203,30; R$ 0,01 ; R$ 0,01 ; R$ 0,02 ; R$ 207,75 ; R$ 0,04 ; R$ 4.155,00 ; R$ 457,05 ; R$ 3.490,20 ;
;ABRACADEIRA NYLON BRANCA 2.5X200;;;1000;$0,24;$236,80; R$ 0,01 ; R$ 0,01 ; R$ 0,02 ; R$ 242,55 ; R$ 0,05 ; R$ 4.850,92 ; R$ 533,60 ; R$ 4.074,77 ;
;ABRACADEIRA NYLON BRANCA 3.6X150;;;1000;$0,32;$315,40; R$ 0,02 ; R$ 0,01 ; R$ 0,03 ; R$ 322,37 ; R$ 0,06 ; R$ 6.447,42 ; R$ 709,22 ; R$ 5.415,83 ;
;ABRACADEIRA NYLON BRANCA  3.6X180;;;1000;$0,43;$429,40; R$ 0,03 ; R$ 0,02 ; R$ 0,04 ; R$ 439,04 ; R$ 0,09 ; R$ 8.780,77 ; R$ 965,88 ; R$ 7.375,85 ;
;ABRACADEIRA NYLON BRANCA  3.6X300;;;1000;$0,59;$587,50; R$ 0,04 ; R$ 0,02 ; R$ 0,06 ; R$ 601,76 ; R$ 0,12 ; R$ 12.035,18 ; R$ 1.323,87 ; R$ 10.109,55 ;
;ABRACADEIRA NYLON BRANCA 4.8X200;;;1000;$0,51;$510,40; R$ 0,03 ; R$ 0,02 ; R$ 0,05 ; R$ 521,93 ; R$ 0,10 ; R$ 10.438,68 ; R$ 1.148,25 ; R$ 8.768,49 ;
;ABRACADEIRA NYLON BRANCA  4.8X300;;;1000;$0,76;$763,30; R$ 0,05 ; R$ 0,03 ; R$ 0,08 ; R$ 780,85 ; R$ 0,16 ; R$ 15.617,08 ; R$ 1.717,88 ; R$ 13.118,35 ;
;ABRACADEIRA NYLON BRANCA  4.8X400;;;1000;$1,00;$998,20; R$ 0,06 ; R$ 0,04 ; R$ 0,10 ; R$ 1.021,35 ; R$ 0,20 ; R$ 20.427,06 ; R$ 2.246,98 ; R$ 17.158,73 ;
;ABRACADEIRA NYLON BRANCA  7.6x400;;"50PCS/bag, with
color label";1000;$1,02;$1.021,50; R$ 0,12 ; R$ 0,09 ; R$ 0,21 ; R$ 10.448,91 ; R$ 0,42 ; R$ 20.897,83 ; R$ 2.298,76 ; R$ 8.150,15 ;
;ABRACADEIRA NYLON PRETA  2.5X100;;100PCS/bag, with color label;1000;$0,13;$125,00; R$ 0,01 ; R$ 0,01 ; R$ 0,01 ; R$ 127,93 ; R$ 0,03 ; R$ 2.558,50 ; R$ 281,44 ; R$ 2.149,14 ;
;ABRACADEIRA NYLON PRETA  2.5X150;;;1000;$0,20;$203,30; R$ 0,01 ; R$ 0,01 ; R$ 0,02 ; R$ 207,75 ; R$ 0,04 ; R$ 4.155,00 ; R$ 457,05 ; R$ 3.490,20 ;
;ABRACADEIRA NYLON PRETA  2.5X200;;;1000;$0,24;$236,80; R$ 0,01 ; R$ 0,01 ; R$ 0,02 ; R$ 242,55 ; R$ 0,05 ; R$ 4.850,92 ; R$ 533,60 ; R$ 4.074,77 ;
;ABRACADEIRA NYLON PRETA  3.6X150;;;1000;$0,32;$315,40; R$ 0,02 ; R$ 0,01 ; R$ 0,03 ; R$ 322,37 ; R$ 0,06 ; R$ 6.447,42 ; R$ 709,22 ; R$ 5.415,83 ;
;ABRACADEIRA NYLON PRETA  3.6X180;;;1000;$0,43;$429,40; R$ 0,03 ; R$ 0,02 ; R$ 0,04 ; R$ 439,04 ; R$ 0,09 ; R$ 8.780,77 ; R$ 965,88 ; R$ 7.375,85 ;
;ABRACADEIRA NYLON PRETA 3.6X300;;;1000;$0,59;$587,50; R$ 0,04 ; R$ 0,02 ; R$ 0,06 ; R$ 601,76 ; R$ 0,12 ; R$ 12.035,18 ; R$ 1.323,87 ; R$ 10.109,55 ;
;ABRACADEIRA NYLON PRETA 4.8X200;;;1000;$0,51;$510,40; R$ 0,03 ; R$ 0,02 ; R$ 0,05 ; R$ 521,93 ; R$ 0,10 ; R$ 10.438,68 ; R$ 1.148,25 ; R$ 8.768,49 ;
;ABRACADEIRA NYLON PRETA 4.8X300;;;1000;$0,76;$763,30; R$ 0,05 ; R$ 0,03 ; R$ 0,08 ; R$ 780,85 ; R$ 0,16 ; R$ 15.617,08 ; R$ 1.717,88 ; R$ 13.118,35 ;
;ABRACADEIRA NYLON PRETA 4.8X400;;;1000;$1,00;$998,20; R$ 0,06 ; R$ 0,04 ; R$ 0,10 ; R$ 1.021,35 ; R$ 0,20 ; R$ 20.427,06 ; R$ 2.246,98 ; R$ 17.158,73 ;
;ABRACADEIRA NYLON PRETA 7.6x400;;"50PCS/bag, with
color label";1000;$1,02;$1.021,50; R$ 0,12 ; R$ 0,09 ; R$ 0,21 ; R$ 10.448,91 ; R$ 0,42 ; R$ 20.897,83 ; R$ 2.298,76 ; R$ 8.150,15 ;
Total:;;;;22000;;$18.117,70;;;;;;;;;
;;;;;;;;;;;;; R$ 48.665,86 ; R$ 285.151,93 ;
;;;;;;;;;;;;;;;
;;;;TOTAL R$ ; R$ 109.068,55 ;;;;;;;;;;
;;;;CUSTO IMPOSTOS; R$ 76.347,99 ;;;;;;;;;;
;;;;CUSTO FRETE : ; R$ 12.000,00 ;;;;;;;;;;
;;;;TOTALGERAL; R$ 197.416,54 ;;;;;;;;;;
